"","EMPLOYMENT.STATUS","GENDER"
"392","Employed full time","Prefer not to say"
"393","Full time student","Man"
"399","Temporarily not working","Man"
"401","Full time student","Man"
"402","Other - please describe","Man"
"403","Full time student","Man"
"404","Employed full time","Man"
"405","Employed full time","Man"
"406","Employed full time","Prefer not to say"
"410","Employed full time","Man"
"411","Employed full time","Man"
"416","Employed full time","Man"
"418","Employed full time","Man"
"420","Employed full time","Man"
"423","Full time student","Man"
"425","Employed full time","Man"
"426","Employed part time","Man"
"427","Employed full time","Man"
"428","Employed full time","Man"
"429","Employed full time","Man"
"430","Full time student","Man"
"434","Full time student","Non-binary  or Other"
"435","Employed full time","Man"
"437","Employed full time","Man"
"438","Employed full time","Man"
"442","Employed full time","Man"
"443","Employed full time","Man"
"444","Full time student","Man"
"447","Employed full time","Prefer not to say"
"448","Full time student","Man"
"450","Full time student","Man"
"451","Employed full time","Man"
"453","Employed part time","Man"
"455","Employed full time","Man"
"457","Full time student","Man"
"458","Employed full time","Man"
"459","Full time student","Prefer not to say"
"460","Employed full time","Man"
"462","Employed part time","Man"
"463","Employed full time","Man"
"464","Full time student","Man"
"468","Employed full time","Prefer not to say"
"469","Employed full time","Man"
"472","Employed full time","Man"
"473","Employed full time","Man"
"474","Full time student","Prefer not to say"
"476","Employed full time","Man"
"477","Full time student","Man"
"478","Employed full time","Man"
"479","Employed part time","Man"
"480","Employed full time","Man"
"483","Employed full time","Man"
"485","Employed full time","Man"
"487","Employed full time","Man"
"488","Employed full time","Man"
"491","Employed full time","Man"
"492","Employed full time","Man"
"493","Employed full time","Man"
"495","Full time student","Man"
"496","Employed full time","Man"
"497","Full time student","Man"
"498","Employed full time","Woman"
"502","Employed full time","Man"
"504","Temporarily not working","Man"
"505","Employed full time","Man"
"506","Employed full time","Man"
"507","Temporarily not working","Man"
"508","Employed full time","Man"
"509","Employed full time","Man"
"510","Employed full time","Man"
"511","Employed full time","Man"
"512","Full time student","Man"
"513","Employed full time","Man"
"514","Employed full time","Man"
"518","Employed full time","Man"
"520","Employed full time","Woman"
"521","Employed full time","Man"
"524","Employed full time","Man"
"526","Employed full time","Man"
"531","Employed full time","Man"
"532","Employed full time","Man"
"534","Full time student","Man"
"536","Employed full time","Prefer not to say"
"538","Employed full time","Man"
"539","Employed part time","Man"
"540","Full time student","Man"
"541","Employed full time","Man"
"542","Employed full time","Man"
"544","Employed part time","Man"
"546","Employed full time","Man"
"548","Employed full time","Man"
"549","Temporarily not working","Man"
"551","Employed full time","Man"
"553","Employed full time","Man"
"554","Employed full time","Man"
"555","Retired or permanently not working (e.g. due to disability)","Man"
"561","Employed full time","Man"
"562","Employed full time","Man"
"563","Temporarily not working","Prefer not to say"
"565","Employed full time","Man"
"566","Employed full time","Man"
"567","Employed full time","Man"
"569","Employed full time","Man"
"571","Employed full time","Man"
"572","Temporarily not working","Man"
"575","Full time student","Man"
"576","Employed full time","Man"
"578","Employed part time","Man"
"580","Full time student","Man"
"584","Employed full time","Man"
"585","Employed full time","Woman"
"588","Employed full time","Non-binary  or Other"
"589","Employed full time","Man"
"590","Retired or permanently not working (e.g. due to disability)","Man"
"593","Employed full time","Prefer not to say"
"594","Temporarily not working","Man"
"595","Employed full time","Man"
"597","Retired or permanently not working (e.g. due to disability)","Man"
"598","Employed full time","Man"
"599","Full time student","Man"
"601","Temporarily not working","Prefer not to say"
"602","Full time student","Prefer not to say"
"606","Employed full time","Man"
"608","Employed full time","Man"
"609","Full time student","Man"
"613","Employed full time","Man"
"614","Employed full time","Man"
"620","Employed full time","Man"
"621","Employed part time","Man"
"622","Employed full time","Man"
"623","Employed full time","Man"
"624","Full time student","Man"
"625","Employed full time","Man"
"626","Employed full time","Man"
"631","Employed full time","Man"
"632","Employed full time","Man"
"634","Employed full time","Man"
